Breakfast Cereals,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut",28.0,0.75 cup (1 NLEA serving),2.2 g,357.0 mg,5.5 g,33.09 g,4.0 g,84.69 g,375.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate",27.0,0.75 cup (1 NLEA serving),2.2 g,370.0 mg,5.8 g,34.09 g,5.09 g,83.5 g,380.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Yogurt Burst, strawberry",30.0,0.75 cup (1 NLEA serving),2.23 g,333.0 mg,6.67 g,30.0 g,5.23 g,81.75 g,400.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX",32.0,0.75 cup (1 NLEA serving),2.19 g,286.0 mg,4.8 g,26.2 g,8.39 g,81.09 g,412.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS",28.0,0.75 cup (1 NLEA serving),2.29 g,357.0 mg,5.59 g,36.79 g,4.4 g,84.4 g,381.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Cinnamon Burst CHEERIOS",32.0,1.0 cup (1 NLEA serving),2.2 g,313.0 mg,6.3 g,28.1 g,6.09 g,83.2 g,375.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Cinnamon CHEX",30.0,0.75 cup (1 NLEA serving),2.31 g,333.0 mg,5.0 g,26.1 g,6.59 g,82.4 g,403.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, CINNAMON TOAST CRUNCH",31.0,0.75 cup (1 NLEA serving),3.24 g,444.0 mg,5.45 g,30.3 g,10.25 g,77.99 g,410.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS",27.0,0.75 cup (1 NLEA serving),1.8 g,370.0 mg,5.6 g,37.2 g,5.2 g,83.7 g,383.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS, 25% Reduced Sugar",30.0,1.0 cup (1 NLEA serving),1.79 g,333.0 mg,6.5 g,25.79 g,5.19 g,82.69 g,380.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP",26.0,0.75 cup (1 NLEA serving),2.3 g,385.0 mg,5.2 g,34.8 g,4.4 g,84.5 g,380.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Corn CHEX",31.0,1.0 cup (1 NLEA serving),2.5 g,323.0 mg,6.4 g,11.1 g,2.4 g,85.0 g,370.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA",27.0,0.75 cup (1 NLEA serving),1.89 g,370.0 mg,5.4 g,33.09 g,4.69 g,84.5 g,383.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER",27.0,0.75 cup (1 NLEA serving),2.3 g,370.0 mg,5.6 g,21.2 g,5.7 g,82.8 g,366.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Dulce De Leche CHEERIOS",27.0,0.75 cup (1 NLEA serving),2.2 g,370.0 mg,6.5 g,20.89 g,5.69 g,82.0 g,378.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE 80 Calories, Chocolate Squares",30.0,0.75 cup (1 NLEA serving),2.2 g,1333.0 mg,3.29 g,17.29 g,2.9 g,84.0 g,253.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE 80 Calories, Honey Squares",30.0,0.75 cup (1 NLEA serving),2.2 g,1000.0 mg,4.8 g,10.8 g,2.59 g,85.19 g,248.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal",30.0,0.5 cup (1 NLEA serving),3.22 g,333.0 mg,6.59 g,1.0 g,2.29 g,84.3 g,207.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Caramel Delight",50.0,1.0 cup (1 NLEA serving),2.75 g,200.0 mg,5.8 g,20.79 g,-- g,82.69 g,344.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, HONEY CLUSTERS",52.0,1.0 cup (1 NLEA serving),2.68 g,192.0 mg,7.69 g,17.79 g,2.59 g,83.9 g,323.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Nutty Clusters &amp; Almonds",55.0,1.0 cup (1 NLEA serving),2.79 g,182.0 mg,7.9 g,22.1 g,6.8 g,79.5 g,348.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, RAISIN BRAN CLUSTERS",55.0,1.0 cup (1 NLEA serving),5.19 g,182.0 mg,6.3 g,25.6 g,2.29 g,83.4 g,317.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY",33.0,1.0 cup (1 NLEA serving),1.89 g,303.0 mg,5.5 g,27.29 g,4.3 g,85.4 g,386.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS",27.0,0.75 cup (1 NLEA serving),2.2 g,370.0 mg,9.0 g,32.0 g,4.69 g,79.8 g,376.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, FROSTED TOAST CRUNCH",30.0,0.75 cup (1 NLEA serving),2.29 g,333.0 mg,5.19 g,29.2 g,10.1 g,78.59 g,410.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Fruity CHEERIOS",27.0,0.75 cup (1 NLEA serving),2.2 g,370.0 mg,5.8 g,32.2 g,4.59 g,84.19 g,381.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS",31.0,0.75 cup (1 NLEA serving),2.2 g,323.0 mg,5.3 g,35.0 g,3.2 g,85.1 g,374.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Honey KIX",33.0,1.25 cup (1 NLEA serving),2.37 g,455.0 mg,6.4 g,18.2 g,3.9 g,83.0 g,364.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS",28.0,0.75 cup (1 NLEA serving),2.86 g,425.0 mg,8.85 g,32.89 g,5.0 g,79.69 g,376.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS, MEDLEY CRUNCH",30.0,0.75 cup (1 NLEA serving),2.7 g,323.0 mg,9.1 g,29.1 g,5.4 g,79.5 g,387.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX",32.0,0.75 cup (1 NLEA serving),2.2 g,313.0 mg,6.3 g,28.1 g,2.0 g,86.67 g,375.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CLUSTERS",57.0,1.0 cup (1 NLEA serving),2.35 g,34.0 mg,7.7 g,24.8 g,2.0 g,85.2 g,374.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, KIX",30.0,1.25 cup (1 NLEA serving),2.79 g,570.0 mg,7.69 g,9.76 g,3.46 g,82.82 g,357.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS",27.0,0.75 cup (1 NLEA serving),4.15 g,434.0 mg,7.67 g,36.13 g,5.02 g,80.89 g,380.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Multi Grain CHEERIOS, Peanut Butter",28.0,0.75 cup (1 NLEA serving),2.0 g,357.0 mg,6.8 g,32.5 g,6.19 g,82.0 g,390.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Multi-Grain CHEERIOS",29.0,1.0 cup (1 NLEA serving),2.5 g,345.0 mg,8.3 g,21.2 g,4.09 g,81.4 g,370.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, NATURE VALLEY LOW FAT FRUIT GRANOLA",55.0,0.667 cup (1 NLEA serving),5.59 g,36.0 mg,7.9 g,31.89 g,4.69 g,79.4 g,381.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Oat Cluster CHEERIOS Crunch",27.0,0.75 cup (1 NLEA serving),2.6 g,296.0 mg,8.5 g,27.9 g,4.6 g,80.7 g,378.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Crunchy Almond",60.0,1.0 cup (1 NLEA serving),2.9 g,33.0 mg,9.89 g,22.89 g,6.69 g,78.09 g,390.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Hearty Raisin",62.0,1.0 cup (1 NLEA serving),4.69 g,32.0 mg,8.5 g,27.29 g,3.79 g,80.8 g,372.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, PEANUT BUTTER TOAST CRUNCH",31.0,0.75 cup (1 NLEA serving),2.59 g,323.0 mg,8.19 g,27.1 g,9.8 g,76.19 g,410.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, RAISIN NUT BRAN",49.0,0.75 cup (1 NLEA serving),4.03 g,41.0 mg,8.19 g,28.5 g,5.3 g,80.0 g,368.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS",29.0,0.75 cup (1 NLEA serving),2.6 g,345.0 mg,6.8 g,35.3 g,11.1 g,75.6 g,413.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Rice CHEX",27.0,1.0 cup (1 NLEA serving),2.59 g,370.0 mg,6.4 g,8.0 g,1.89 g,85.09 g,375.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, TOTAL Raisin Bran",53.0,1.0 cup (1 NLEA serving),8.36 g,1887.0 mg,5.6 g,32.3 g,1.6 g,76.8 g,312.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, TRIX",32.0,1.0 cup (1 NLEA serving),1.89 g,313.0 mg,4.9 g,32.0 g,3.79 g,86.19 g,384.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX",47.0,0.75 cup (1 NLEA serving),2.5 g,213.0 mg,9.8 g,10.3 g,1.8 g,82.2 g,345.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, WHEATIES",27.0,0.75 cup (1 NLEA serving),2.6 g,74.0 mg,8.3 g,15.2 g,2.3 g,83.3 g,353.0 kcal
"Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL",30.0,0.75 cup (1 NLEA serving),2.67 g,3333.0 mg,8.4 g,16.4 g,2.1 g,74.7 g,320.0 kcal
"Cereals ready-to-eat, granola, homemade",122.0,1.0 cup,5.84 g,76.0 mg,13.67 g,19.8 g,24.31 g,53.88 g,489.0 kcal
"Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 Flakes",31.0,0.75 cup (1 NLEA serving),3.0 g,71.0 mg,14.44 g,20.0 g,1.41 g,78.15 g,353.0 kcal
"Cereals ready-to-eat, KASHI 7 Whole Grain Flakes",50.0,1.0 cup (1 NLEA serving),3.3 g,29.0 mg,11.0 g,11.3 g,1.5 g,81.4 g,337.0 kcal
"Cereals ready-to-eat, KASHI 7 Whole Grain Honey Puffs",30.0,1.0 cup (1 NLEA serving),3.0 g,43.0 mg,10.0 g,21.8 g,1.8 g,79.0 g,349.0 kcal
"Cereals ready-to-eat, KASHI 7 Whole Grain Nuggets",58.0,0.5 cup (1 NLEA serving),3.0 g,41.0 mg,11.8 g,5.0 g,2.8 g,81.0 g,356.0 kcal
"Cereals ready-to-eat, KASHI 7 Whole Grain Puffs",19.0,1.0 cup (1 NLEA serving),4.0 g,38.0 mg,13.0 g,0.93 g,2.3 g,78.6 g,336.0 kcal
"Cereals ready-to-eat, KASHI Berry Blossom",30.0,0.75 cup (1 NLEA serving),2.5 g,35.0 mg,7.5 g,23.39 g,3.0 g,83.09 g,322.0 kcal
"Cereals ready-to-eat, KASHI GO LEAN CRUNCH!, Honey Almond Flax",53.0,0.67 Cup (1 NLEA serving),3.65 g,75.0 mg,16.79 g,22.2 g,9.9 g,66.9 g,379.0 kcal
"Cereals ready-to-eat, KASHI GOLEAN",52.0,1.0 cup (1 NLEA serving),3.0 g,119.0 mg,24.89 g,16.5 g,2.2 g,67.19 g,311.0 kcal
"Cereals ready-to-eat, KASHI GOLEAN CRISP Cinnamon Crumble",51.0,0.75 cup (1 NLEA serving),3.5 g,135.0 mg,22.1 g,18.6 g,8.19 g,62.59 g,362.0 kcal
"Cereals ready-to-eat, KASHI GOLEAN CRISP Toasted Berry Crumble",51.0,0.75 cup (1 NLEA serving),3.5 g,111.0 mg,18.0 g,21.7 g,8.19 g,66.69 g,368.0 kcal
"Cereals ready-to-eat, KASHI GOLEAN CRUNCH!",53.0,0.75 Cup (1 NLEA serving),3.5 g,59.0 mg,16.7 g,24.0 g,5.9 g,71.4 g,367.0 kcal
"Cereals ready-to-eat, KASHI GOLEAN Vanilla Graham Clusters",51.0,1.0 Cup (1 NLEA serving),3.0 g,105.0 mg,21.5 g,17.79 g,2.59 g,70.09 g,330.0 kcal
"Cereals ready-to-eat, KASHI GOOD FRIENDS",53.0,1.0 cup (1 NLEA serving),2.0 g,26.0 mg,9.4 g,18.8 g,3.2 g,79.3 g,299.0 kcal
"Cereals ready-to-eat, KASHI HEART TO HEART, Honey Toasted Oat",33.0,0.75 cup (1 NLEA serving),2.5 g,41.0 mg,11.39 g,15.5 g,5.0 g,78.69 g,364.0 kcal
"Cereals ready-to-eat, KASHI HEART TO HEART, Warm Cinnamon",33.0,0.75 cup (1 NLEA serving),2.5 g,55.0 mg,11.6 g,15.69 g,4.9 g,78.5 g,365.0 kcal
"Cereals ready-to-eat, KASHI Honey Sunshine",30.0,0.75 cup (1 NLEA serving),2.5 g,29.0 mg,7.8 g,20.29 g,4.09 g,82.0 g,332.0 kcal
"Cereals ready-to-eat, KASHI INDIGO MORNING",27.0,0.75 cup (1 NLEA serving),3.0 g,-- mg,7.7 g,22.2 g,3.4 g,82.8 g,364.0 kcal
"Cereals ready-to-eat, KASHI ORGANIC PROMISE, Berry Fruitful",55.0,29.0 biscuits (1 NLEA serving),8.5 g,29.0 mg,10.7 g,14.6 g,1.3 g,76.2 g,318.0 kcal
"Cereals ready-to-eat, KASHI ORGANIC PROMISE, CINNAMON HARVEST",55.0,28.0 biscuits (1 NLEA serving),5.0 g,25.0 mg,11.0 g,16.5 g,1.4 g,79.0 g,336.0 kcal
"Cereals ready-to-eat, KASHI ORGANIC PROMISE, ISLAND VANILLA",55.0,27.0 biscuits (1 NLEA serving),5.2 g,37.0 mg,10.7 g,16.9 g,1.9 g,80.8 g,350.0 kcal
"Cereals ready-to-eat, KASHI ORGANIC PROMISE, RAISIN VINEYARD",50.0,0.75 Cup (1 NLEA serving),8.5 g,24.0 mg,8.69 g,23.39 g,0.8 g,79.9 g,342.0 kcal
"Cereals ready-to-eat, KASHI ORGANIC PROMISE, STRAWBERRY FIELDS",55.0,1.0 cup (1 NLEA serving),3.1 g,14.0 mg,9.4 g,20.5 g,0.7 g,83.5 g,358.0 kcal
"Cereals ready-to-eat, KASHI Simply Maize",27.0,0.75 cup (1 NLEA serving),3.0 g,-- mg,7.8 g,22.1 g,3.4 g,83.3 g,371.0 kcal
"Cereals ready-to-eat, KASHI, HEART TO HEART, Oat Flakes &amp; Blueberry Clusters",55.0,1.0 cup (1 NLEA serving),3.0 g,43.0 mg,10.39 g,22.7 g,3.79 g,80.3 g,376.0 kcal
"Cereals ready-to-eat, KASHI, ORGANIC PROMISE Autumn Wheat",54.0,29.0 biscuits (1 NLEA serving),5.0 g,29.0 mg,12.0 g,12.4 g,1.4 g,79.0 g,338.0 kcal
"Cereals ready-to-eat, KELLOGG RAISIN BRAN with Omega-3 from flaxseed",53.0,1.0 Cup (1 NLEA serving),5.69 g,39.0 mg,7.3 g,31.29 g,2.5 g,82.69 g,349.0 kcal
"Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal",32.0,1.0 Cup (1 NLEA serving),2.29 g,22.0 mg,8.6 g,18.5 g,4.09 g,84.0 g,376.0 kcal
"Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows",28.0,1.0 cup (1 NLEA serving),2.5 g,10.0 mg,4.3 g,51.1 g,2.8 g,89.6 g,378.0 kcal
"Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS",28.0,1.0 cup (1 NLEA serving),2.29 g,20.0 mg,5.9 g,33.9 g,7.8 g,83.0 g,397.0 kcal
"Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes",31.0,0.75 cup (1 NLEA serving),2.5 g,20.0 mg,6.7 g,33.5 g,3.9 g,83.3 g,385.0 kcal
"Cereals ready-to-eat, KELLOGG'S FROSTED FLAKES, CHOCO ZUCARITAS",30.0,0.75 cup (1 NLEA serving),2.65 g,7.0 mg,5.1 g,38.1 g,3.5 g,85.1 g,387.0 kcal
"Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Bite Size Blueberry Muffin",55.0,25.0 biscuits (1 NLEA serving),5.0 g,26.0 mg,8.6 g,22.7 g,1.6 g,84.8 g,352.0 kcal
"Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS LITTLE BITES, chocolate",56.0,1.0 cup (1 NLEA serving),5.3 g,33.0 mg,8.5 g,22.29 g,3.4 g,81.4 g,354.0 kcal
"Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Touch of Fruit in the Middle, raisin",55.0,24.0 Biscuits (1 NLEA serving),6.3 g,32.0 mg,9.1 g,17.2 g,1.6 g,82.1 g,343.0 kcal
"Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle, Raspberry",55.0,24.0 biscuits (1 NLEA serving),6.3 g,33.0 mg,8.8 g,17.8 g,1.8 g,82.1 g,342.0 kcal
"Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS, Big Bite",58.0,7.0 biscuit (1 NLEA serving),4.8 g,28.0 mg,9.2 g,20.3 g,1.6 g,83.4 g,350.0 kcal
"Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal",31.0,0.75 cup (1 NLEA serving),3.5 g,61.0 mg,7.0 g,35.7 g,11.1 g,76.1 g,397.0 kcal
"Cereals ready-to-eat, KELLOGG'S KRAVE double chocolate cereal",30.0,0.75 cup (1 NLEA serving),3.5 g,67.0 mg,7.1 g,36.3 g,11.2 g,75.9 g,397.0 kcal
"Cereals ready-to-eat, KELLOGG'S KRAVE Smores",31.0,0.75 Cup (1 NLEA serving),3.5 g,57.0 mg,7.3 g,31.7 g,10.89 g,76.4 g,401.0 kcal
"Cereals ready-to-eat, KELLOGG'S RICE KRISPIES, Gluten Free",30.0,1.0 cup (1 NLEA serving),3.6 g,10.0 mg,7.8 g,3.7 g,2.3 g,82.4 g,371.0 kcal
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolate Almond",28.0,0.67 Cup (1 NLEA serving),3.0 g,105.0 mg,7.59 g,27.5 g,5.09 g,81.5 g,375.0 kcal
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",31.0,0.75 cup (1 NLEA serving),3.0 g,18.0 mg,6.5 g,29.9 g,7.3 g,81.2 g,381.0 kcal
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Multigrain Oats and Honey",29.0,0.666 cup (1 NLEA serving),3.5 g,18.0 mg,7.8 g,26.4 g,1.8 g,85.0 g,362.0 kcal
"Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-WHEATS Bite Size Strawberry Delight",55.0,25.0 biscuits (1 NLEA serving),5.1 g,26.0 mg,8.7 g,22.7 g,1.6 g,84.6 g,352.0 kcal
"Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-WHEATS, Maple &amp; Brown Sugar, Bite Size",55.0,25.0 biscuits (1 NLEA serving),5.05 g,30.0 mg,8.7 g,22.7 g,1.5 g,84.7 g,351.0 kcal
"Cereals ready-to-eat, KELLOGG'S, Reduced Sugar Frosted Flakes Cereal",30.0,0.75 cup (1 NLEA serving),3.0 g,5.0 mg,5.59 g,23.89 g,0.4 g,87.3 g,357.0 kcal
"Cereals ready-to-eat, KELLOGG'S, SPECIAL K gluten free, touch of brown sugar",49.0,1.0 Cup (1 NLEA serving),3.0 g,163.0 mg,6.09 g,19.1 g,2.5 g,86.5 g,369.0 kcal
"Cereals ready-to-eat, KELLOGG'S, SPECIAL K Protein Plus",32.0,0.75 cup (1 NLEA serving),3.0 g,79.0 mg,31.2 g,20.3 g,2.6 g,60.6 g,359.0 kcal
"Cereals ready-to-eat, KELLOGG'S, SPECIAL K protein, cinnamon brown sugar crunch",31.0,0.75 Cup (1 NLEA serving),3.0 g,205.0 mg,22.29 g,30.29 g,2.59 g,69.8 g,356.0 kcal
"Cereals ready-to-eat, KELLOGG'S, SPECIAL K Vanilla Almond",30.0,0.75 cup (1 NLEA serving),3.0 g,34.0 mg,7.8 g,29.2 g,4.0 g,83.0 g,366.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS",30.0,0.333 cup (1 NLEA serving),3.0 g,63.0 mg,8.9 g,26.7 g,2.5 g,81.0 g,257.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes",29.0,0.75 cup (1 NLEA serving),-- g,39.0 mg,10.2 g,18.8 g,2.5 g,81.6 g,327.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original",31.0,0.5 cup (1 NLEA serving),2.12 g,389.0 mg,13.14 g,15.69 g,4.9 g,74.24 g,259.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",28.0,1.0 cup (1 NLEA serving),2.5 g,12.0 mg,5.1 g,43.7 g,3.4 g,88.2 g,375.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CINNABON cereal",30.0,1.0 cup (1 NLEA serving),2.5 g,26.0 mg,5.69 g,41.59 g,7.3 g,83.3 g,410.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES",31.0,0.75 cup (1 NLEA serving),2.81 g,127.0 mg,4.6 g,38.6 g,2.7 g,87.9 g,389.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes",28.0,1.0 cup (1 NLEA serving),3.76 g,5.0 mg,7.5 g,9.5 g,0.4 g,84.1 g,357.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS",30.0,1.0 cup (1 NLEA serving),3.0 g,7.0 mg,4.8 g,31.3 g,1.3 g,89.7 g,387.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CRACKLIN' OAT BRAN",49.0,0.75 cup (1 NLEA serving),3.0 g,59.0 mg,9.2 g,28.0 g,14.1 g,70.3 g,395.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX",29.0,1.0 cup (1 NLEA serving),3.0 g,9.0 mg,6.59 g,12.8 g,0.8 g,87.19 g,378.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS",29.0,1.0 cup (1 NLEA serving),2.5 g,10.0 mg,5.3 g,41.7 g,3.4 g,88.0 g,375.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES",30.0,0.75 cup ( 1 NLEA serving),4.18 g,3.0 mg,3.96 g,35.43 g,1.68 g,89.2 g,369.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, bite size",54.0,21.0 biscuits (1 NLEA serving),4.8 g,28.0 mg,9.19 g,20.29 g,1.6 g,83.4 g,350.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, little bites",56.0,1.0 Cup (1 NLEA serving),4.8 g,30.0 mg,9.19 g,20.2 g,1.7 g,83.4 g,351.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED RICE KRISPIES",30.0,0.75 cup (1 NLEA serving),2.5 g,6.0 mg,4.3 g,40.2 g,0.4 g,91.3 g,384.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY CRUNCH CORN FLAKES",30.0,0.75 cup (1 NLEA serving),3.0 g,22.0 mg,6.8 g,33.0 g,1.9 g,87.0 g,385.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY SMACKS",27.0,0.75 cup (1 NLEA serving),2.9 g,14.0 mg,5.7 g,56.2 g,2.2 g,88.5 g,380.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola with Raisins",60.0,0.667 cup (1 NLEA serving),3.8 g,36.0 mg,9.0 g,27.9 g,5.2 g,80.1 g,381.0 kcal
