Baked Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Biscuits, plain or buttermilk, refrigerated dough, lower fat",58.0,1.0 serving 1 biscuit,37.76 g,26.0 mg,6.7 g,7.18 g,7.83 g,43.7 g,270.0 kcal
"Biscuits, plain or buttermilk, refrigerated dough, lower fat, baked",28.35,1.0 oz,27.7 g,19.0 mg,7.8 g,8.14 g,9.1 g,51.6 g,319.0 kcal
"Bread crumbs, dry, grated, plain",28.35,1.0 oz,6.51 g,183.0 mg,13.35 g,6.2 g,5.3 g,71.98 g,395.0 kcal
"Bread crumbs, dry, grated, seasoned",28.35,1.0 oz,6.35 g,182.0 mg,14.13 g,5.74 g,5.48 g,68.49 g,383.0 kcal
"Bread sticks, plain",46.0,"1.0 cup, small pieces",6.1 g,22.0 mg,12.0 g,1.26 g,9.5 g,68.4 g,412.0 kcal
"Bread stuffing, bread, dry mix",28.35,1.0 oz,4.2 g,97.0 mg,11.0 g,8.27 g,3.4 g,76.2 g,386.0 kcal
"Bread stuffing, bread, dry mix, prepared",28.35,1.0 oz,64.77 g,30.0 mg,2.73 g,2.04 g,12.05 g,18.84 g,195.0 kcal
"Bread stuffing, cornbread, dry mix",28.35,1.0 oz,4.6 g,78.0 mg,10.0 g,13.16 g,4.2 g,76.7 g,389.0 kcal
"Bread stuffing, cornbread, dry mix, prepared",28.35,1.0 oz,64.9 g,26.0 mg,2.9 g,0.0 g,8.8 g,21.9 g,179.0 kcal
"Bread, banana, prepared from recipe, made with margarine",28.35,1.0 oz,29.2 g,21.0 mg,4.3 g,-- g,10.5 g,54.6 g,326.0 kcal
"Bread, boston brown, canned",28.35,1.0 oz,47.2 g,70.0 mg,5.2 g,2.42 g,1.5 g,43.3 g,195.0 kcal
"Bread, chapati or roti, plain, commercially prepared",68.0,1.0 piece,33.0 g,93.0 mg,11.25 g,2.72 g,7.45 g,46.36 g,297.0 kcal
"Bread, chapati or roti, whole wheat, commercially prepared, frozen",43.0,1.0 piece,35.43 g,36.0 mg,7.85 g,2.93 g,9.2 g,46.13 g,299.0 kcal
"Bread, cheese",48.0,1.0 slice,21.13 g,90.0 mg,10.42 g,2.08 g,20.83 g,44.83 g,408.0 kcal
"Bread, cinnamon",28.0,1.0 slice 1 serving,41.93 g,71.0 mg,7.05 g,14.11 g,5.29 g,44.38 g,253.0 kcal
"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",28.35,1.0 oz,7.8 g,57.0 mg,7.0 g,20.34 g,12.2 g,69.5 g,418.0 kcal
"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",51.0,1.0 muffin,27.11 g,135.0 mg,6.59 g,16.05 g,9.58 g,54.46 g,330.0 kcal
"Bread, cornbread, dry mix, unenriched (includes corn muffin mix)",28.35,1.0 oz,7.8 g,57.0 mg,7.0 g,-- g,12.2 g,69.5 g,418.0 kcal
"Bread, cornbread, prepared from recipe, made with low fat (2%) milk",28.35,1.0 oz,39.1 g,249.0 mg,6.7 g,-- g,7.1 g,43.5 g,266.0 kcal
"Bread, cracked-wheat",28.35,1.0 oz,35.8 g,43.0 mg,8.7 g,-- g,3.9 g,49.5 g,260.0 kcal
"Bread, egg",28.35,1.0 oz,34.7 g,93.0 mg,9.5 g,1.78 g,6.0 g,47.8 g,287.0 kcal
"Bread, egg, toasted",28.35,1.0 oz,28.3 g,102.0 mg,10.5 g,1.94 g,6.6 g,52.6 g,315.0 kcal
"Bread, french or vienna (includes sourdough)",28.35,1.0 oz,33.0 g,52.0 mg,10.75 g,4.62 g,2.42 g,51.88 g,272.0 kcal
"Bread, french or vienna, toasted (includes sourdough)",28.35,1.0 oz,20.61 g,47.0 mg,13.0 g,3.59 g,2.14 g,61.93 g,319.0 kcal
"Bread, french or vienna, whole wheat",48.0,1.0 slice 1 serving,39.81 g,42.0 mg,8.33 g,0.0 g,1.04 g,49.1 g,239.0 kcal
"Bread, gluten-free, white, made with potato extract, rice starch, and rice flour",34.0,1.0 slice,31.67 g,24.0 mg,3.13 g,8.36 g,10.7 g,52.83 g,320.0 kcal
"Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca",35.0,1.0 slice,42.99 g,138.0 mg,4.31 g,3.53 g,5.24 g,45.78 g,248.0 kcal
"Bread, gluten-free, white, made with tapioca starch and brown rice flour",28.0,1.0 slice,33.69 g,59.0 mg,5.4 g,11.3 g,8.02 g,51.15 g,298.0 kcal
"Bread, gluten-free, whole grain, made with tapioca starch and brown rice flour",25.0,1.0 slice,32.36 g,60.0 mg,7.25 g,9.81 g,9.34 g,49.09 g,309.0 kcal
"Bread, irish soda, prepared from recipe",28.35,1.0 oz,30.1 g,81.0 mg,6.6 g,-- g,5.0 g,56.0 g,290.0 kcal
"Bread, italian",28.35,1.0 oz,35.7 g,78.0 mg,8.8 g,3.17 g,3.5 g,50.1 g,271.0 kcal
"Bread, multi-grain (includes whole-grain)",28.35,1.0 oz,36.94 g,103.0 mg,13.36 g,6.39 g,4.23 g,43.34 g,265.0 kcal
"Bread, multi-grain, toasted (includes whole-grain)",28.35,1.0 oz,31.46 g,111.0 mg,14.52 g,6.94 g,4.6 g,47.11 g,288.0 kcal
"Bread, naan, plain, commercially prepared, refrigerated",90.0,1.0 piece,32.6 g,84.0 mg,9.62 g,3.55 g,5.65 g,50.43 g,291.0 kcal
"Bread, naan, whole wheat, commercially prepared, refrigerated",106.0,1.0 piece,34.9 g,59.0 mg,10.2 g,3.4 g,6.7 g,46.21 g,286.0 kcal
"Bread, oat bran",28.35,1.0 oz,44.0 g,65.0 mg,10.4 g,7.7 g,4.4 g,39.8 g,236.0 kcal
"Bread, oat bran, toasted",28.35,1.0 oz,38.5 g,71.0 mg,11.4 g,8.46 g,4.8 g,43.7 g,259.0 kcal
"Bread, oatmeal",28.35,1.0 oz,36.7 g,66.0 mg,8.4 g,8.14 g,4.4 g,48.5 g,269.0 kcal
"Bread, oatmeal, toasted",28.35,1.0 oz,31.2 g,72.0 mg,9.2 g,8.84 g,4.8 g,52.7 g,292.0 kcal
"Bread, pan dulce, sweet yeast bread",63.0,1.0 slice (average weight of 1 slice),21.54 g,86.0 mg,9.42 g,12.5 g,11.58 g,56.38 g,367.0 kcal
"Bread, paratha, whole wheat, commercially prepared, frozen",79.0,1.0 piece,33.5 g,25.0 mg,6.36 g,4.15 g,13.2 g,45.35 g,326.0 kcal
"Bread, pita, white, enriched",60.0,"1.0 pita, large (6-1/2"" dia)",32.1 g,86.0 mg,9.1 g,1.3 g,1.2 g,55.7 g,275.0 kcal
"Bread, pita, white, unenriched",28.35,1.0 oz,32.1 g,86.0 mg,9.1 g,-- g,1.2 g,55.7 g,275.0 kcal
"Bread, pita, whole-wheat",64.0,"1.0 pita, large (6-1/2"" dia)",30.6 g,15.0 mg,9.8 g,2.87 g,1.71 g,55.89 g,262.0 kcal
"Bread, potato",32.0,1.0 slice,33.55 g,188.0 mg,12.5 g,9.38 g,3.13 g,47.07 g,266.0 kcal
"Bread, pound cake type, pan de torta salvadoran",55.0,1.0 serving,22.38 g,46.0 mg,7.06 g,18.1 g,17.45 g,51.29 g,390.0 kcal
"Bread, protein (includes gluten)",28.35,1.0 oz,40.0 g,124.0 mg,12.1 g,1.44 g,2.2 g,43.8 g,245.0 kcal
"Bread, protein, (includes gluten), toasted",28.35,1.0 oz,34.0 g,136.0 mg,13.2 g,1.44 g,2.4 g,48.1 g,270.0 kcal
"Bread, pumpernickel",28.35,1.0 oz,37.9 g,68.0 mg,8.7 g,0.53 g,3.1 g,47.5 g,250.0 kcal
"Bread, pumpernickel, toasted",28.35,1.0 oz,31.8 g,74.0 mg,9.5 g,0.58 g,3.4 g,52.2 g,275.0 kcal
"Bread, raisin, enriched",28.35,1.0 oz,33.6 g,66.0 mg,7.9 g,5.68 g,4.4 g,52.3 g,274.0 kcal
"Bread, raisin, enriched, toasted",28.35,1.0 oz,27.8 g,72.0 mg,8.6 g,6.18 g,4.8 g,56.9 g,297.0 kcal
"Bread, raisin, unenriched",28.35,1.0 oz,33.6 g,66.0 mg,7.9 g,-- g,4.4 g,52.3 g,274.0 kcal
"Bread, reduced-calorie, oat bran",28.35,1.0 oz,46.0 g,57.0 mg,8.0 g,3.52 g,3.2 g,41.3 g,201.0 kcal
"Bread, reduced-calorie, oat bran, toasted",28.35,1.0 oz,35.7 g,68.0 mg,9.5 g,4.2 g,3.8 g,49.2 g,239.0 kcal
"Bread, reduced-calorie, oatmeal",28.35,1.0 oz,44.0 g,115.0 mg,7.6 g,-- g,3.5 g,43.3 g,210.0 kcal
"Bread, reduced-calorie, rye",28.35,1.0 oz,46.0 g,76.0 mg,9.1 g,2.29 g,2.9 g,40.5 g,203.0 kcal
"Bread, reduced-calorie, wheat",28.35,1.0 oz,39.6 g,163.0 mg,13.32 g,3.71 g,2.92 g,42.47 g,217.0 kcal
"Bread, reduced-calorie, white",28.35,1.0 oz,42.9 g,94.0 mg,8.7 g,4.76 g,2.5 g,44.3 g,207.0 kcal
"Bread, rice bran",28.35,1.0 oz,41.0 g,69.0 mg,8.9 g,4.67 g,4.6 g,43.5 g,243.0 kcal
"Bread, rice bran, toasted",28.35,1.0 oz,35.9 g,75.0 mg,9.7 g,5.08 g,5.0 g,47.3 g,264.0 kcal
"Bread, roll, Mexican, bollilo",98.0,1.0 piece,26.05 g,41.0 mg,10.65 g,3.55 g,5.8 g,55.77 g,318.0 kcal
"Bread, rye",28.35,1.0 oz,37.3 g,73.0 mg,8.5 g,3.85 g,3.3 g,48.3 g,259.0 kcal
"Bread, rye, toasted",28.35,1.0 oz,31.0 g,80.0 mg,9.4 g,4.23 g,3.6 g,53.1 g,284.0 kcal
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",55.0,1.0 serving (approximate serving size),25.48 g,73.0 mg,7.12 g,24.9 g,17.12 g,47.84 g,374.0 kcal
"Bread, wheat",29.0,1.0 slice,35.25 g,125.0 mg,10.67 g,5.73 g,4.53 g,47.54 g,274.0 kcal
"Bread, wheat bran",28.35,1.0 oz,37.8 g,74.0 mg,8.8 g,9.68 g,3.4 g,47.8 g,248.0 kcal
"Bread, wheat germ, toasted",28.35,1.0 oz,29.3 g,100.0 mg,10.7 g,4.14 g,3.3 g,54.3 g,293.0 kcal
"Bread, wheat, sprouted",38.0,1.0 slice 1 serving,50.88 g,-- mg,13.16 g,2.63 g,0.0 g,33.88 g,188.0 kcal
"Bread, wheat, sprouted, toasted",38.0,1.0 slice 1 serving,46.61 g,-- mg,14.3 g,2.86 g,0.0 g,36.82 g,205.0 kcal
"Bread, wheat, toasted",28.35,1.0 oz,24.23 g,165.0 mg,12.96 g,6.42 g,4.27 g,55.77 g,313.0 kcal
"Bread, white wheat",28.0,1.0 slice,39.6 g,684.0 mg,10.66 g,5.0 g,2.15 g,43.91 g,238.0 kcal
"Bread, white, commercially prepared (includes soft bread crumbs)",29.0,1.0 slice,36.42 g,144.0 mg,8.85 g,5.67 g,3.33 g,49.42 g,266.0 kcal
"Bread, white, commercially prepared, low sodium, no salt",28.35,1.0 oz,36.7 g,108.0 mg,8.2 g,4.31 g,3.6 g,49.6 g,267.0 kcal
"Bread, white, commercially prepared, toasted",28.35,1.0 oz,30.4 g,119.0 mg,9.0 g,6.2 g,4.0 g,54.5 g,290.0 kcal
"Bread, white, commercially prepared, toasted, low sodium no salt",28.35,1.0 oz,30.4 g,119.0 mg,9.0 g,-- g,4.0 g,54.4 g,293.0 kcal
"Bread, white, prepared from recipe, made with low fat (2%) milk",28.35,1.0 oz,35.3 g,57.0 mg,7.9 g,-- g,5.7 g,49.6 g,285.0 kcal
"Bread, white, prepared from recipe, made with nonfat dry milk",28.35,1.0 oz,34.8 g,32.0 mg,7.7 g,-- g,2.6 g,53.6 g,274.0 kcal
"Bread, whole-wheat, commercially prepared",32.0,1.0 slice,39.01 g,161.0 mg,12.45 g,4.34 g,3.5 g,42.71 g,252.0 kcal
"Bread, whole-wheat, commercially prepared, toasted",28.35,1.0 oz,24.25 g,130.0 mg,16.27 g,5.77 g,4.07 g,51.16 g,306.0 kcal
"Bread, whole-wheat, prepared from recipe",28.35,1.0 oz,32.7 g,33.0 mg,8.4 g,3.84 g,5.4 g,51.4 g,278.0 kcal
"Bread, whole-wheat, prepared from recipe, toasted",28.35,1.0 oz,26.0 g,36.0 mg,9.2 g,4.22 g,5.9 g,56.4 g,305.0 kcal
"Breakfast tart, low fat",52.0,1.0 tart,12.04 g,44.0 mg,3.99 g,4.87 g,5.99 g,76.8 g,372.0 kcal
"Cake, angelfood, commercially prepared",28.0,1.0 piece (1/12 of 12 oz cake),33.2 g,140.0 mg,5.9 g,-- g,0.8 g,57.8 g,258.0 kcal
"Cake, angelfood, dry mix",38.0,1.0 serving,3.73 g,153.0 mg,6.4 g,61.33 g,0.27 g,86.13 g,366.0 kcal
"Cake, angelfood, dry mix, prepared",50.0,"1.0 piece (1/12 of 10"" dia)",32.9 g,84.0 mg,6.1 g,30.51 g,0.3 g,58.7 g,257.0 kcal
"Cake, boston cream pie, commercially prepared",28.35,1.0 oz,45.4 g,23.0 mg,2.4 g,36.11 g,8.5 g,42.9 g,252.0 kcal
"Cake, cherry fudge with chocolate frosting",28.35,1.0 oz,46.1 g,48.0 mg,2.4 g,32.94 g,12.5 g,38.0 g,264.0 kcal
"Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery",138.0,1.0 piece (1/12 of a cake),22.04 g,30.0 mg,3.48 g,39.96 g,20.05 g,52.84 g,389.0 kcal
"Cake, chocolate, prepared from recipe without frosting",95.0,"1.0 piece (1/12 of 9"" dia)",24.4 g,60.0 mg,5.3 g,-- g,15.1 g,53.4 g,371.0 kcal
"Cake, fruitcake, commercially prepared",28.35,1.0 oz,25.3 g,33.0 mg,2.9 g,27.42 g,9.1 g,61.6 g,324.0 kcal
"Cake, gingerbread, dry mix",28.35,1.0 oz,-- g,94.0 mg,4.4 g,46.62 g,13.8 g,74.6 g,437.0 kcal
"Cake, gingerbread, prepared from recipe",28.35,1.0 oz,28.0 g,71.0 mg,3.9 g,-- g,16.4 g,49.2 g,356.0 kcal
"Cake, pineapple upside-down, prepared from recipe",28.35,1.0 oz,32.3 g,120.0 mg,3.5 g,-- g,12.1 g,50.5 g,319.0 kcal
"Cake, pound, BIMBO Bakeries USA, Panque Casero, home baked style",39.0,1.0 slice,21.29 g,52.0 mg,6.62 g,28.77 g,21.7 g,48.94 g,418.0 kcal
"Cake, pound, commercially prepared, butter (includes fresh and frozen)",61.0,0.167 loaf 1/6 of the loaf,25.87 g,47.0 mg,5.0 g,33.36 g,13.96 g,53.64 g,353.0 kcal
"Cake, pound, commercially prepared, fat-free",28.35,1.0 oz,31.0 g,43.0 mg,5.4 g,34.34 g,1.2 g,61.0 g,283.0 kcal
"Cake, pound, commercially prepared, other than all butter, enriched",30.0,1.0 piece (1/10 of 10.6 oz cake),23.1 g,64.0 mg,5.2 g,-- g,17.9 g,52.5 g,389.0 kcal
"Cake, pound, commercially prepared, other than all butter, unenriched",30.0,1.0 piece (1/10 of 10.6 oz cake),23.1 g,64.0 mg,5.2 g,-- g,17.9 g,52.5 g,389.0 kcal
"Cake, pudding-type, carrot, dry mix",28.35,1.0 oz,3.6 g,172.0 mg,5.1 g,-- g,9.8 g,79.2 g,415.0 kcal
"Cake, pudding-type, chocolate, dry mix",28.35,1.0 oz,3.9 g,133.0 mg,4.6 g,39.53 g,8.14 g,80.16 g,391.0 kcal
"Cake, pudding-type, german chocolate, dry mix",43.0,1.0 serving,6.94 g,189.0 mg,4.17 g,42.13 g,3.24 g,81.25 g,350.0 kcal
"Cake, pudding-type, marble, dry mix",28.35,1.0 oz,3.1 g,76.0 mg,3.4 g,35.71 g,11.7 g,79.5 g,416.0 kcal
"Cake, pudding-type, white, enriched, dry mix",28.35,1.0 oz,3.5 g,77.0 mg,3.9 g,48.95 g,9.5 g,80.9 g,423.0 kcal
"Cake, pudding-type, white, unenriched, dry mix",28.35,1.0 oz,3.5 g,77.0 mg,3.9 g,-- g,9.5 g,81.0 g,423.0 kcal
"Cake, pudding-type, yellow, dry mix",28.35,1.0 oz,-- g,115.0 mg,4.0 g,44.21 g,9.8 g,80.0 g,423.0 kcal
"Cake, shortcake, biscuit-type, prepared from recipe",28.35,1.0 oz,28.4 g,205.0 mg,6.1 g,-- g,14.2 g,48.5 g,346.0 kcal
"Cake, snack cakes, creme-filled, chocolate with frosting",28.35,1.0 oz,18.57 g,116.0 mg,3.63 g,37.76 g,15.93 g,60.31 g,399.0 kcal
"Cake, snack cakes, creme-filled, chocolate with frosting, low-fat, with added fiber",27.0,1.0 cake 1 serving,11.31 g,149.0 mg,3.71 g,33.42 g,13.0 g,69.37 g,409.0 kcal
"Cake, snack cakes, creme-filled, sponge",28.35,1.0 oz,19.6 g,24.0 mg,3.47 g,37.3 g,11.54 g,64.03 g,374.0 kcal
"Cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber",27.0,1.0 cake 1 serving,9.66 g,223.0 mg,3.71 g,29.71 g,11.14 g,74.3 g,412.0 kcal
"Cake, sponge, commercially prepared",28.35,1.0 oz,29.7 g,70.0 mg,5.4 g,36.66 g,2.7 g,61.0 g,290.0 kcal
"Cake, sponge, prepared from recipe",28.35,1.0 oz,29.4 g,42.0 mg,7.3 g,-- g,4.3 g,57.7 g,297.0 kcal
"Cake, white, dry mix, special dietary (includes lemon-flavored)",28.35,1.0 oz,6.0 g,26.0 mg,3.0 g,-- g,8.4 g,79.6 g,397.0 kcal
"Cake, white, prepared from recipe with coconut frosting",28.35,1.0 oz,20.7 g,90.0 mg,4.4 g,57.39 g,10.3 g,63.2 g,356.0 kcal
"Cake, white, prepared from recipe without frosting",74.0,"1.0 piece (1/12 of 9"" dia)",23.3 g,130.0 mg,5.4 g,35.49 g,12.4 g,57.2 g,357.0 kcal
"Cake, yellow, commercially prepared, with chocolate frosting, in-store bakery",144.0,1.0 piece (1/12 of a cake),22.38 g,32.0 mg,3.16 g,39.22 g,17.75 g,55.36 g,379.0 kcal
"Cake, yellow, commercially prepared, with vanilla frosting",67.0,1.0 serving,22.1 g,62.0 mg,2.99 g,41.79 g,17.91 g,56.2 g,391.0 kcal
"Cake, yellow, enriched, dry mix",43.0,1.0 serving,7.18 g,211.0 mg,3.7 g,43.29 g,3.5 g,81.92 g,374.0 kcal
"Cake, yellow, light, dry mix",28.35,1.0 oz,3.1 g,155.0 mg,4.7 g,-- g,5.5 g,84.1 g,404.0 kcal
"Cake, yellow, prepared from recipe without frosting",68.0,"1.0 piece (1/12 of 8"" dia)",25.1 g,146.0 mg,5.3 g,-- g,14.6 g,53.0 g,361.0 kcal
"Cake, yellow, unenriched, dry mix",28.35,1.0 oz,3.7 g,135.0 mg,4.4 g,-- g,11.6 g,78.1 g,432.0 kcal
Cheesecake commercially prepared,28.35,1.0 oz,45.6 g,51.0 mg,5.5 g,21.8 g,22.5 g,25.5 g,321.0 kcal
