Fruits and Fruit Juices,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Blueberries, dried, sweetened",40.0,0.25 cup,14.8 g,19.0 mg,2.5 g,67.5 g,-- g,80.0 g,317.0 kcal
"Blueberries, frozen, sweetened",230.0,"1.0 cup, thawed",77.4 g,6.0 mg,0.4 g,19.72 g,0.13 g,21.95 g,85.0 kcal
"Blueberries, frozen, unsweetened",155.0,"1.0 cup, unthawed",86.59 g,8.0 mg,0.42 g,8.45 g,0.64 g,12.17 g,51.0 kcal
"Blueberries, raw",148.0,1.0 cup,84.21 g,6.0 mg,0.74 g,9.96 g,0.33 g,14.49 g,57.0 kcal
"Blueberries, wild, canned, heavy syrup, drained",319.0,1.0 cup,70.63 g,19.0 mg,0.56 g,19.28 g,0.34 g,28.32 g,107.0 kcal
"Blueberries, wild, frozen",140.0,"1.0 cup, frozen",85.8 g,17.0 mg,0.0 g,-- g,0.16 g,13.85 g,57.0 kcal
"Boysenberries, canned, heavy syrup",256.0,1.0 cup,76.26 g,18.0 mg,0.99 g,-- g,0.12 g,22.31 g,88.0 kcal
"Boysenberries, frozen, unsweetened",132.0,"1.0 cup, unthawed",85.9 g,27.0 mg,1.1 g,6.89 g,0.26 g,12.19 g,50.0 kcal
"Breadfruit, raw",220.0,1.0 cup,70.65 g,17.0 mg,1.07 g,11.0 g,0.23 g,27.12 g,103.0 kcal
"Carambola, (starfruit), raw",132.0,"1.0 cup, cubes",91.38 g,3.0 mg,1.04 g,3.98 g,0.33 g,6.73 g,31.0 kcal
"Carissa, (natal-plum), raw",150.0,1.0 cup slices,84.17 g,11.0 mg,0.5 g,-- g,1.3 g,13.63 g,62.0 kcal
"Cherimoya, raw",160.0,"1.0 cup, pieces",79.39 g,10.0 mg,1.57 g,12.87 g,0.68 g,17.71 g,75.0 kcal
"Cherries, sour, canned, water pack, drained",168.0,1.0 cup,88.31 g,11.0 mg,0.69 g,6.99 g,0.21 g,10.45 g,42.0 kcal
"Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids",261.0,1.0 cup,69.73 g,10.0 mg,0.71 g,-- g,0.09 g,29.23 g,114.0 kcal
"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",256.0,1.0 cup,75.66 g,10.0 mg,0.73 g,22.17 g,0.1 g,23.27 g,91.0 kcal
"Cherries, sour, red, canned, light syrup pack, solids and liquids",252.0,1.0 cup,79.62 g,10.0 mg,0.74 g,-- g,0.1 g,19.3 g,75.0 kcal
"Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)",244.0,1.0 cup,89.93 g,11.0 mg,0.77 g,7.6 g,0.1 g,8.94 g,36.0 kcal
"Cherries, sour, red, frozen, unsweetened",155.0,"1.0 cup, unthawed",87.2 g,13.0 mg,0.92 g,9.02 g,0.44 g,11.02 g,46.0 kcal
"Cherries, sour, red, raw",155.0,"1.0 cup, without pits",86.13 g,16.0 mg,1.0 g,8.49 g,0.3 g,12.18 g,50.0 kcal
"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",261.0,"1.0 cup, pitted",72.66 g,9.0 mg,0.59 g,-- g,0.15 g,26.23 g,102.0 kcal
"Cherries, sweet, canned, juice pack, solids and liquids",250.0,"1.0 cup, pitted",84.95 g,14.0 mg,0.91 g,12.31 g,0.02 g,13.81 g,54.0 kcal
"Cherries, sweet, canned, light syrup pack, solids and liquids",252.0,"1.0 cup, pitted",81.56 g,9.0 mg,0.61 g,15.79 g,0.15 g,17.29 g,67.0 kcal
"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",253.0,1.0 cup,77.61 g,9.0 mg,0.6 g,16.18 g,0.15 g,21.27 g,83.0 kcal
"Cherries, sweet, canned, pitted, heavy syrup, drained",179.0,1.0 cup,77.61 g,10.0 mg,0.73 g,16.18 g,0.21 g,21.07 g,83.0 kcal
"Cherries, sweet, canned, water pack, solids and liquids",248.0,"1.0 cup, pitted",87.05 g,11.0 mg,0.77 g,10.26 g,0.13 g,11.76 g,46.0 kcal
"Cherries, sweet, frozen, sweetened",259.0,"1.0 cup, thawed",75.53 g,12.0 mg,1.15 g,20.26 g,0.13 g,22.36 g,89.0 kcal
"Cherries, sweet, raw",138.0,"1.0 cup, with pits, yields",82.25 g,13.0 mg,1.06 g,12.82 g,0.2 g,16.01 g,63.0 kcal
"Cherries, tart, dried, sweetened",40.0,0.25 cup,16.6 g,38.0 mg,1.25 g,67.15 g,0.73 g,80.45 g,333.0 kcal
"Clementines, raw",74.0,1.0 fruit,86.58 g,30.0 mg,0.85 g,9.18 g,0.15 g,12.02 g,47.0 kcal
"Crabapples, raw",110.0,1.0 cup slices,78.94 g,18.0 mg,0.4 g,-- g,0.3 g,19.95 g,76.0 kcal
"Cranberries, dried, sweetened",40.0,0.25 cup,15.79 g,9.0 mg,0.17 g,72.56 g,1.09 g,82.8 g,308.0 kcal
"Cranberries, raw",110.0,"1.0 cup, chopped",87.32 g,8.0 mg,0.46 g,4.27 g,0.13 g,11.97 g,46.0 kcal
"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",200.0,6.75 fl oz,88.6 g,19.0 mg,0.27 g,9.8 g,0.12 g,10.91 g,45.0 kcal
"Cranberry juice, unsweetened",253.0,1.0 cup,87.13 g,8.0 mg,0.39 g,12.1 g,0.13 g,12.2 g,46.0 kcal
"Cranberry sauce, canned, sweetened",277.0,1.0 cup,58.45 g,3.0 mg,0.9 g,31.75 g,0.15 g,40.4 g,159.0 kcal
"Cranberry sauce, jellied, canned, OCEAN SPRAY",70.0,0.25 cup,58.2 g,3.0 mg,1.05 g,32.2 g,0.04 g,40.61 g,160.0 kcal
"Cranberry sauce, whole, canned, OCEAN SPRAY",70.0,0.25 cup,58.7 g,3.0 mg,0.75 g,31.3 g,0.05 g,40.4 g,158.0 kcal
"Cranberry-orange relish, canned",275.0,1.0 cup,53.2 g,11.0 mg,0.3 g,-- g,0.1 g,46.2 g,178.0 kcal
"Currants, european black, raw",112.0,1.0 cup,81.96 g,55.0 mg,1.4 g,-- g,0.41 g,15.38 g,63.0 kcal
"Currants, red and white, raw",112.0,1.0 cup,83.95 g,33.0 mg,1.4 g,7.37 g,0.2 g,13.8 g,56.0 kcal
"Currants, zante, dried",144.0,1.0 cup,19.21 g,86.0 mg,4.08 g,67.28 g,0.27 g,74.08 g,283.0 kcal
"Dates, deglet noor",147.0,"1.0 cup, chopped",20.53 g,39.0 mg,2.45 g,63.35 g,0.39 g,75.03 g,282.0 kcal
"Dates, medjool",24.0,"1.0 date, pitted",21.32 g,64.0 mg,1.81 g,66.47 g,0.15 g,74.97 g,277.0 kcal
"Durian, raw or frozen",243.0,"1.0 cup, chopped or diced",64.99 g,6.0 mg,1.47 g,-- g,5.33 g,27.09 g,147.0 kcal
"Elderberries, raw",145.0,1.0 cup,79.8 g,38.0 mg,0.66 g,-- g,0.5 g,18.4 g,73.0 kcal
"Feijoa, raw",243.0,"1.0 cup, pureed",83.28 g,17.0 mg,0.71 g,8.2 g,0.42 g,15.21 g,61.0 kcal
"Figs, canned, extra heavy syrup pack, solids and liquids",261.0,1.0 cup,71.39 g,26.0 mg,0.38 g,-- g,0.1 g,27.86 g,107.0 kcal
"Figs, canned, heavy syrup pack, solids and liquids",259.0,1.0 cup,76.33 g,27.0 mg,0.38 g,20.7 g,0.1 g,22.9 g,88.0 kcal
"Figs, canned, light syrup pack, solids and liquids",252.0,1.0 cup,81.26 g,27.0 mg,0.39 g,16.15 g,0.1 g,17.95 g,69.0 kcal
"Figs, canned, water pack, solids and liquids",248.0,1.0 cup,85.21 g,28.0 mg,0.4 g,11.79 g,0.1 g,13.99 g,53.0 kcal
"Figs, dried, stewed",259.0,1.0 cup,69.8 g,70.0 mg,1.42 g,23.35 g,0.4 g,27.57 g,107.0 kcal
"Figs, dried, uncooked",149.0,1.0 cup,30.05 g,162.0 mg,3.3 g,47.92 g,0.93 g,63.87 g,249.0 kcal
"Figs, raw",64.0,"1.0 large (2-1/2"" dia)",79.11 g,35.0 mg,0.75 g,16.26 g,0.3 g,19.18 g,74.0 kcal
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",130.0,0.5 cup,76.43 g,6.0 mg,0.39 g,-- g,0.07 g,22.89 g,88.0 kcal
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",123.0,0.5 cup,87.7 g,8.0 mg,0.4 g,-- g,0.07 g,11.63 g,45.0 kcal
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",248.0,1.0 cup,80.4 g,6.0 mg,0.39 g,17.91 g,0.07 g,18.91 g,73.0 kcal
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",237.0,1.0 cup,87.44 g,8.0 mg,0.46 g,10.86 g,0.01 g,11.86 g,46.0 kcal
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",242.0,1.0 cup,84.37 g,6.0 mg,0.4 g,13.93 g,0.07 g,14.93 g,57.0 kcal
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",237.0,1.0 cup,90.76 g,5.0 mg,0.42 g,7.51 g,0.05 g,8.51 g,32.0 kcal
"Fruit cocktail, canned, heavy syrup, drained",214.0,1.0 cup,80.4 g,7.0 mg,0.47 g,17.14 g,0.1 g,18.8 g,70.0 kcal
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",252.0,1.0 cup,88.0 g,10.0 mg,0.63 g,9.3 g,0.02 g,10.9 g,46.0 kcal
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",230.0,1.0 cup,85.61 g,18.0 mg,0.63 g,11.46 g,0.33 g,13.04 g,56.0 kcal
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",233.0,1.0 cup,86.6 g,11.0 mg,0.44 g,10.33 g,0.3 g,12.37 g,52.0 kcal
"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",240.0,8.0 fl oz,81.7 g,-- mg,0.42 g,12.08 g,0.0 g,16.67 g,71.0 kcal
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",275.0,1.0 cup,86.25 g,11.0 mg,0.6 g,11.15 g,0.26 g,12.53 g,53.0 kcal
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",240.0,8.0 fl oz,83.46 g,8.0 mg,0.42 g,12.5 g,0.0 g,15.0 g,63.0 kcal
"Fruit juice smoothie, NAKED JUICE, strawberry banana",228.0,1.0 cup,87.28 g,10.0 mg,0.48 g,10.05 g,0.27 g,11.66 g,50.0 kcal
"Fruit juice smoothie, ODWALLA, ORIGINAL SUPERFOOD",227.0,1.0 cup,87.22 g,7.0 mg,0.63 g,10.16 g,0.36 g,11.51 g,50.0 kcal
"Fruit juice smoothie, ODWALLA, strawberry banana",233.0,1.0 cup,87.74 g,10.0 mg,0.5 g,9.9 g,0.32 g,11.05 g,48.0 kcal
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",259.0,1.0 cup,76.64 g,6.0 mg,0.33 g,-- g,0.06 g,22.77 g,88.0 kcal
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",255.0,1.0 cup,80.26 g,6.0 mg,0.34 g,18.11 g,0.07 g,19.11 g,73.0 kcal
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",249.0,1.0 cup,86.15 g,11.0 mg,0.51 g,-- g,0.03 g,13.05 g,50.0 kcal
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",252.0,1.0 cup,84.24 g,7.0 mg,0.34 g,-- g,0.07 g,15.14 g,58.0 kcal
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",245.0,1.0 cup,91.5 g,7.0 mg,0.35 g,-- g,0.07 g,7.87 g,30.0 kcal
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",257.0,1.0 cup,76.78 g,13.0 mg,0.41 g,-- g,0.1 g,22.36 g,86.0 kcal
"Goji berries, dried",28.0,5.0 tbsp,7.5 g,190.0 mg,14.26 g,45.61 g,0.39 g,77.06 g,349.0 kcal
"Gooseberries, canned, light syrup pack, solids and liquids",252.0,1.0 cup,80.1 g,16.0 mg,0.65 g,-- g,0.2 g,18.75 g,73.0 kcal
"Gooseberries, raw",150.0,1.0 cup,87.87 g,25.0 mg,0.88 g,-- g,0.58 g,10.18 g,44.0 kcal
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",253.0,1.0 cup,84.51 g,11.0 mg,0.37 g,14.2 g,0.13 g,14.77 g,60.0 kcal
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",253.0,1.0 cup,84.51 g,42.0 mg,0.37 g,14.2 g,0.13 g,14.77 g,62.0 kcal
"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",253.0,1.0 cup,84.51 g,11.0 mg,0.37 g,14.2 g,0.13 g,14.77 g,60.0 kcal
"Grapefruit juice, pink or red, with added calcium",240.0,8.0 fl oz,90.0 g,146.0 mg,0.5 g,8.33 g,0.1 g,8.69 g,38.0 kcal
"Grapefruit juice, pink, raw",247.0,1.0 cup,90.0 g,9.0 mg,0.5 g,-- g,0.1 g,9.2 g,39.0 kcal
"Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY",247.0,1.0 cup,91.2 g,14.0 mg,0.58 g,7.5 g,0.1 g,7.93 g,34.0 kcal
"Grapefruit juice, white, canned or bottled, unsweetened",247.0,1.0 cup,91.2 g,14.0 mg,0.58 g,7.2 g,0.1 g,7.93 g,34.0 kcal
"Grapefruit juice, white, canned, sweetened",250.0,1.0 cup,87.38 g,8.0 mg,0.58 g,11.03 g,0.09 g,11.13 g,46.0 kcal
"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",247.0,1.0 cup,89.3 g,8.0 mg,0.55 g,9.63 g,0.13 g,9.73 g,41.0 kcal
"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",207.0,1.0 can (6 fl oz),62.0 g,27.0 mg,1.97 g,34.16 g,0.48 g,34.56 g,146.0 kcal
"Grapefruit juice, white, raw",247.0,1.0 cup,90.0 g,9.0 mg,0.5 g,9.1 g,0.1 g,9.2 g,39.0 kcal
"Grapefruit, raw, pink and red and white, all areas",230.0,"1.0 cup sections, with juice",90.89 g,12.0 mg,0.63 g,6.98 g,0.1 g,8.08 g,32.0 kcal
"Grapefruit, raw, pink and red, all areas",230.0,"1.0 cup sections, with juice",88.06 g,22.0 mg,0.77 g,6.89 g,0.14 g,10.66 g,42.0 kcal
"Grapefruit, raw, pink and red, California and Arizona",230.0,"1.0 cup sections, with juice",89.31 g,11.0 mg,0.5 g,-- g,0.1 g,9.69 g,37.0 kcal
"Grapefruit, raw, pink and red, Florida",230.0,"1.0 cup sections, with juice",91.56 g,15.0 mg,0.55 g,-- g,0.1 g,7.5 g,30.0 kcal
"Grapefruit, raw, white, all areas",230.0,"1.0 cup sections, with juice",90.48 g,12.0 mg,0.69 g,7.31 g,0.1 g,8.41 g,33.0 kcal
"Grapefruit, raw, white, California",230.0,"1.0 cup sections, with juice",89.58 g,12.0 mg,0.88 g,-- g,0.1 g,9.09 g,37.0 kcal
"Grapefruit, raw, white, Florida",230.0,"1.0 cup sections, with juice",90.76 g,15.0 mg,0.63 g,-- g,0.1 g,8.19 g,32.0 kcal
"Grapefruit, sections, canned, juice pack, solids and liquids",249.0,1.0 cup,89.67 g,15.0 mg,0.7 g,8.8 g,0.09 g,9.21 g,37.0 kcal
"Grapefruit, sections, canned, light syrup pack, solids and liquids",254.0,1.0 cup,83.59 g,14.0 mg,0.56 g,15.04 g,0.1 g,15.44 g,60.0 kcal
"Grapefruit, sections, canned, water pack, solids and liquids",244.0,1.0 cup,89.85 g,15.0 mg,0.58 g,8.75 g,0.1 g,9.15 g,36.0 kcal
"Grapes, american type (slip skin), raw",92.0,1.0 cup,81.3 g,14.0 mg,0.63 g,16.25 g,0.35 g,17.15 g,67.0 kcal
"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",256.0,1.0 cup,79.53 g,10.0 mg,0.48 g,19.05 g,0.1 g,19.65 g,76.0 kcal
"Grapes, canned, thompson seedless, water pack, solids and liquids",245.0,1.0 cup,88.84 g,10.0 mg,0.5 g,9.7 g,0.11 g,10.3 g,40.0 kcal
"Grapes, muscadine, raw",6.0,1.0 grape,84.29 g,37.0 mg,0.81 g,-- g,0.47 g,13.93 g,57.0 kcal
"Grapes, red or green (European type, such as Thompson seedless), raw",151.0,1.0 cup,80.54 g,10.0 mg,0.72 g,15.48 g,0.16 g,18.1 g,69.0 kcal
"Groundcherries, (cape-gooseberries or poha), raw",140.0,1.0 cup,85.4 g,9.0 mg,1.9 g,-- g,0.7 g,11.2 g,53.0 kcal
"Guanabana nectar, canned",251.0,1.0 cup,84.72 g,7.0 mg,0.11 g,13.07 g,0.17 g,14.93 g,59.0 kcal
"Guava nectar, canned, with added ascorbic acid",251.0,1.0 cup,83.51 g,8.0 mg,0.09 g,12.95 g,0.06 g,16.25 g,63.0 kcal
"Guava nectar, with sucralose, canned",335.0,11.3 fl oz,86.23 g,8.0 mg,0.3 g,10.15 g,0.07 g,13.3 g,48.0 kcal
"Guava sauce, cooked",238.0,1.0 cup,89.56 g,7.0 mg,0.32 g,5.88 g,0.14 g,9.48 g,36.0 kcal
"Guavas, common, raw",165.0,1.0 cup,80.8 g,18.0 mg,2.55 g,8.92 g,0.95 g,14.32 g,68.0 kcal
"Guavas, strawberry, raw",244.0,1.0 cup,80.66 g,21.0 mg,0.58 g,-- g,0.6 g,17.36 g,69.0 kcal
